title,source_title,year,oa_status_november,oa_status_december,DOI
Exaggerated aortic pulse pressure and wave amplitude during muscle metaboreflex activation in type 2 diabetes patients,American Journal of Hypertension,2020,"All Open Access, Bronze",Closed,10.1093/ajh/hpz135
Vibrational Spectroscopy for the Determination of Ionizable Group Content in Ionomer Materials,Applied Spectroscopy,2018,"All Open Access, Bronze",Closed,10.1177/0003702817728243
Observing hurricane harvey's eyewall at landfall,Bulletin of the American Meteorological Society,2019,"All Open Access, Bronze",Closed,10.1175/BAMS-D-17-0237.1
Thermal effect of rainwater infiltration into a replicated road embankment in a cold environmental chamber,Cold Regions Science and Technology,2019,"All Open Access, Green",Closed,10.1016/j.coldregions.2018.12.008
The Authoritarian Wager: Political Action and the Sudden Collapse of Repression,Comparative Political Studies,2020,"All Open Access, Bronze",Closed,10.1177/0010414019843564
A comparison of computational fluid dynamics predicted initial liquid penetration using rate of injection profiles generated using two different measurement techniques,International Journal of Engine Research,2019,"All Open Access, Bronze",Closed,10.1177/1468087417746475
"Taxonomic status of the nominal forms assigned to Necromys lactens (Rodentia, Cricetidae) as revealed by molecular and morphometric evidence",Journal of Mammalogy,2020,"All Open Access, Green",Closed,10.1093/jmammal/gyz187
Dietary variation during reproduction in Seba's short-tailed fruit bat,Journal of Mammalogy,2018,"All Open Access, Bronze",Closed,10.1093/jmammal/gyx189
L -Cysteine Modified by S-Sulfation: Consequence on Fragmentation Processes Elucidated by Tandem Mass Spectrometry and Chemical Dynamics Simulations,Journal of Physical Chemistry A,2019,"All Open Access, Green",Closed,10.1021/acs.jpca.9b01779
Microwave synthesis of functionally graded tricalcium phosphate for osteoconduction,Materials Today Communications,2016,"All Open Access, Green",Closed,10.1016/j.mtcomm.2016.10.002
Conical intersections and the weak fluorescence of betalains,Photochemical and Photobiological Sciences,2019,"All Open Access, Bronze",Closed,10.1039/c9pp00131j
The electronic transitions of analogs of red wine pyranoanthocyanin pigments,Photochemical and Photobiological Sciences,2019,"All Open Access, Bronze",Closed,10.1039/C8PP00391B
Modulation of the carboxamidine redox potential through photoinduced spiropyran or fulgimide isomerisation,Photochemical and Photobiological Sciences,2018,"All Open Access, Bronze",Closed,10.1039/c7pp00347a
Nanospray liquid chromatography/tandem mass spectrometry analysis of steroids from gray whale blubber,Rapid Communications in Mass Spectrometry,2017,"All Open Access, Bronze",Closed,10.1002/RCM.7884
Artichoke phenolics confer protection against acute kidney injury,Revista Brasileira de Farmacognosia,2020,"All Open Access, Green",Closed,10.1007/s43450-020-00032-6
"Contrasting strategies of xylem formation between black spruce and balsam fir in Quebec, Canada",Tree Physiology,2019,"All Open Access, Bronze",Closed,10.1093/treephys/tpy151
